ownership_group,PARCELID,OwnerName,TotalAcres,CountyName,OwnerAddre,OwnerAdd_1,OwnerAdd_2,OwnerCity,OwnerState,OwnerZip,match_reason,confidence,include_in_defensible_total,TaxYear,PropertyID,Assessment,PropType,DbaName,CareOfTaxp,LegalDescr,Subdivisio,project_category
CROSSHARBOR / LONE MOUNTAIN,25042631301130000,PROGIN JAMES A TRUST,2.48,Madison,C/O CORIENT,5950 SHERRY LN STE 600,,DALLAS,TX,75225,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,921567,0029006212,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S31, T06 S, R03 E, Lot 108, ACRES 2.48, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033706101290000,WYLER GREG,2.48,Madison,PO BOX 86,,,HANOVER,NH,03755-0086,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920447,0028800217,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2, S06, T07 S, R03 E, Lot 78A, ACRES 2.48, PLAT 4/467",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25042631401300000,BROWN MICHAEL & TAMSEN,2.47,Madison,151 DOVER RD,,,WELLESLEY,MA,02482-7323,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,921593,0029006235,Vacant Land,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S31, T06 S, R03 E, Lot 140A, ACRES 2.47, PLAT 4/467",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033706201090000,HOFFMAN DAVID F,2.47,Madison,1300 MOUNT PLEASANT RD,,,VILLANOVA,PA,19085-2100,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920429,0028800196,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S06, T07 S, R03 E, Lot 71, ACRES 2.47, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25042536302070000,SQUEAKY DEEKY LLC,2.47,Madison,90 W MADISON AVE STE E-244,,,BELGRADE,MT,59714-3955,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,919195,0028000420,Vacant Land,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 3A, S36, T06 S, R02 E, Lot 420, ACRES 2.47, PLAT 4/517",YELLOWSTONE MOUNTAIN CLUB PHASE 3A,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25042631401180000,THRESHOLD LLC,2.47,Madison,701 5TH AVE STE 7400,,,SEATTLE,WA,98104-7016,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,921624,0029006274,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S31, T06 S, R03 E, Lot 162, ACRES 2.47, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25042631301140000,376 ANDESITE RIDGE LLC,2.46,Madison,5931 HAVENS RD,,,COLUMBUS,OH,43230-1928,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,921628,0029006328,Vacant Land,,ALVAREZ ELEANOR,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S31, T06 S, R03 E, Lot 110, ACRES 2.46, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033706101390000,PV ANDESITE PROPERTY LLC &,2.46,Madison,8020 SANDERLING RD,,,SARASOTA,FL,34242-2741,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920377,0028800135,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S06, T07 S, R03 E, Lot 55, ACRES 2.46, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25042536302090000,SQUEAKY DEEKY LLC,2.46,Madison,90 W MADISON AVE STE E-244,,,BELGRADE,MT,59714-3955,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,919196,0028000421,Vacant Land,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 3A, S36, T06 S, R02 E, Lot 421, ACRES 2.46, PLAT 4/517",YELLOWSTONE MOUNTAIN CLUB PHASE 3A,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033706101360000,JELLYSTONE LLC,2.45,Madison,C/O HALL,250 OSCEOLA WAY,,PALM BEACH,FL,33480-3133,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920435,0028800204,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S06, T07 S, R03 E, Lot 74, ACRES 2.45, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033706301070000,ALPHA BRAVO REAL ESTATE YC LLC,2.44,Madison,2895 W CAPOVILLA AVE STE 140,,,LAS VEGAS,NV,89119-4336,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920410,0028800166,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2, S06, T07 S, R03 E, Lot 176, ACRES 2.44, PLAT 4/432",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,Yellowstone Club
CROSSHARBOR / LONE MOUNTAIN,25033706101280000,MASCOT HOLDINGS LLC,2.44,Madison,303 S ROSCOE BLVD,,,PONTE VEDRA BEACH,FL,32082-4363,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920453,0028800222,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S06, T07 S, R03 E, Lot 77A, ACRES 2.44, PLAT 4/467",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033706201070000,TONNSEN ROBERT RUSSELL TRUSTEE,2.44,Madison,2410 FOSSIL TRACE DR,,,GOLDEN,CO,80401-6148,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920355,0028800115,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2, S06, T07 S, R03 E, Lot 69A, ACRES 2.44, PLAT 4/467",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033706301040000,ANDESITE LLC,2.42,Madison,11001 E BETONY DR,,,SCOTTSDALE,AZ,85255-1988,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920395,0028800152,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S06, T07 S, R03 E, Lot 181, ACRES 2.42, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25042631401390000,CONTINENTAL PARTNERS V LLC,2.41,Madison,1150 CENTRAL AVE,,,NAPLES,FL,34102-6214,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,921600,0029006245,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S31, T06 S, R03 E, Lot 119, ACRES 2.41, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25042631401410000,ECLIPSE VACATION DREAMS LLC,2.41,Madison,4 BEEBE LN,,,HOUSTON,TX,77024-5071,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,921610,0029006260,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S31, T06 S, R03 E, Lot 123, ACRES 2.41, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033601101020000,OLIVIER KENNETH EDWARD TRUSTEE,2.41,Madison,9810 E MADERA DR,,,SCOTTSDALE,AZ,85262-2986,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920379,0028800137,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S01, T07 S, R02 E, Lot 197, ACRES 2.41, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033706201080000,AKIT YELLOWSTONE LLC,2.4,Madison,302 DATURA ST STE 100,,,WEST PALM BEACH,FL,33401-5481,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920398,0028800155,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S06, T07 S, R03 E, Lot 70A, ACRES 2.4, PLAT 4/467",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,Yellowstone Club
CROSSHARBOR / LONE MOUNTAIN,25042631401400000,CONTINENTAL PARTNERS XI LLC,2.39,Madison,1150 CENTRAL AVE,,,NAPLES,FL,34102-6214,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,921609,0029006259,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S31, T06 S, R03 E, Lot 121, ACRES 2.39, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033706101080000,JACOBSON RICHARD R & SANDRA L,2.37,Madison,PO BOX 2164,,,SAINT GEORGE,UT,84771-2164,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920467,0028800520,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2, S06, T07 S, R03 E, Lot 47, ACRES 2.37, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25042631401150000,9 PUMICE ROAD LLC,2.36,Madison,1221 W EMMA AVE STE 300,,,COEUR D ALENE,ID,83814-2530,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920605,0029000036,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S31, T06 S, R03 E, Lot 156A, ACRES 2.36, PLAT 4/467",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033706201160000,LUMARO LLC DBA LUMARO INC,2.34,Madison,ATT: SALVADOR VERA,AV CONSTITUYENTES 1162,LOMAS ALTAS 11950 MIGUEL HIDALGO,,,,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920381,0028800139,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S06, T07 S, R03 E, Lot 90, ACRES 2.34, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25042631401370000,ELECTRIC PEAK INVESTMENTS LLC,2.32,Madison,2750 WILDERNESS COVE RD,,,BISMARCK,ND,58503-9024,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,921551,0029006018,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S31, T06 S, R03 E, Lot 127A, ACRES 2.32, PLAT 4/467",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25042631401060000,TRACY LIVING TRUST,2.32,Madison,351 N CLIFFWOOD AVE,,,LOS ANGELES,CA,90049-2617,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,921598,0029006240,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S31, T06 S, R03 E, Lot 159, ACRES 2.32, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033706101180000,AR LOT 64A LLC,2.31,Madison,115 CENTRAL PARK W APT 19A,,,NEW YORK,NY,10023-4295,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920353,0028800113,Vacant Land,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S06, T07 S, R03 E, Lot 64A, ACRES 2.31, PLAT 4/467",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033706201050000,WELLES JEFFREY F & MAUD I TRUSTEES,2.31,Madison,PO BOX 161000,,,BIG SKY,MT,59716-1000,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920427,0028800194,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S06, T07 S, R03 E, Lot 67, ACRES 2.31, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033706201110000,BAKER JALYN MCDONALD,2.29,Madison,4456 TREASURE VLY,,,CLAREMONT,CA,91711-8324,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920378,0028800136,Vacant Land,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S06, T07 S, R03 E, Lot 85, ACRES 2.29, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25042536303370000,HEADWATERS38 LLC,2.28,Madison,16369 MOUNTAIN BREEZE DR,,,ANCHORAGE,AK,99516-4418,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,919251,0028000474,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 3A, S36, T06 S, R02 E, Lot 474, ACRES 2.28, PLAT 4/517",YELLOWSTONE MOUNTAIN CLUB PHASE 3A,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25042536303010000,KRUTTSCHNITT MARK L REVOCABLE TRUST,2.28,Madison,PO BOX 1036,,,ROSS,CA,94957-1036,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,919198,0028000423,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 3A, S36, T06 S, R02 E, Lot 423, ACRES 2.28, PLAT 4/517",YELLOWSTONE MOUNTAIN CLUB PHASE 3A,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033706101090000,ANDESITE MEADOWS LLC,2.26,Madison,% JOSEPH GOKEN,8777 VELOCITY DR,,MACHESNEY PARK,IL,61115,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920347,0028800108,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S06, T07 S, R03 E, Lot 49, ACRES 2.26, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25042631401120000,BRUMBAUGH DAVID & CATHERINE,2.26,Madison,1272 FARM RD,,,BERWYN,PA,19312-2000,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,921620,0029006269,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S31, T06 S, R03 E, Lot 149, ACRES 2.26, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25042535404050000,CORNELL INVESTMENT PARTNERS LP,2.25,Madison,PO BOX 7138,,,GARDEN CITY,NY,11530-7138,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,919178,0028000404,Vacant Land,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 3A, S35, T06 S, R02 E, Lot 404, ACRES 2.25, PLAT 4/517",YELLOWSTONE MOUNTAIN CLUB PHASE 3A,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25042631401340000,YELLOWSTONE MOUNTAIN REAL ESTATE LLC,2.24,Madison,830 S OCEAN BLVD,,,PALM BEACH,FL,33480-4815,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,921588,0029006230,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S31, T06 S, R03 E, Lot 129, ACRES 2.24, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,Yellowstone Club
CROSSHARBOR / LONE MOUNTAIN,25033706101210000,ANDESITE #61 LLC,2.23,Madison,MAIL TO: KIM ZSITVAY,42522 N 112TH ST,,SCOTTSDALE,AZ,85262,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920423,0028800189,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S06, T07 S, R03 E, Lot 61, ACRES 2.23, PLAT 4/467",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033706101120000,MALONE JAMES ANTHONY & HERRING ELISA LYNN TRUSTEES,2.23,Madison,8670 RIVER TRCE,,,ROSWELL,GA,30076-3910,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920336,0028800098,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2, S06, T07 S, R03 E, Lot 45, ACRES 2.23, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033601101090000,MONTANA ORCA LLC,2.23,Madison,1631 N 51ST ST,,,SEATTLE,WA,98103-6103,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920396,0028800153,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S01, T07 S, R02 E, Lot 193, ACRES 2.23, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25042631401130000,MOUNTAINHOME DEVELOPMENT ASSOC LP,2.22,Madison,C/O SUMMIT REALTY ADVISORS LLC,201 S MAPLE ST STE 100,,AMBLER,PA,19002-5725,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,921621,0029006270,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2, S31, T06 S, R03 E, Lot 150A, ACRES 2.22, PLAT 4/467",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033706101140000,MOOSE CROSSING LLC,2.21,Madison,4331 WYTHE LN,,,INDIANAPOLIS,IN,46250-4240,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920444,0028800213,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2, S06, T07 S, R03 E, Lot 165, ACRES 2.21, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25042631401160000,FREEDOM LODGE LLC,2.2,Madison,PO BOX 1063,,,BOCA GRANDE,FL,33921-1063,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,921599,0029006241,Improved Property,,DANIEL WILLIAM,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2, S31, T06 S, R03 E, Lot 160, ACRES 2.2, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033705301090000,BGTG PROPERTIES LLC,2.19,Madison,19060 SE REACH ISLAND LN,,,JUPITER,FL,33458-1124,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920418,0028800184,Vacant Land,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2, S05, T07 S, R03 E, Lot 21A, ACRES 2.19, PLAT 4/576-BA",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25042631301120000,COCOPOP LLC,2.19,Madison,2000 GARRAUX RD NW,,,ATLANTA,GA,30327-2508,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,921554,0029006197,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S31, T06 S, R03 E, Lot 106, ACRES 2.19, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25042631301070000,Z01 HOLDINGS LLC,2.19,Madison,MAIL TO ROBERT MARTINO,301 W PLATE ST BOX A-500,,TAMPA,FL,33606,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920370,0028800129,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S31, T06 S, R03 E, Lot 134, ACRES 2.19, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033602103050000,BLOOSTEIN MARC J TRUSTEE,2.18,Madison,PO BOX 2177,,,WOBURN,MA,01888-0277,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,919413,0028003027,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 3, S02, T07 S, R02 E, Lot 327-A, ACRES 2.18, PLAT 4/726-BA",YELLOWSTONE MOUNTAIN CLUB PHASE 3,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033706101270000,ZUKE HOLDINGS LLC,2.18,Madison,40 LYNNBROOK RD,,,SAINT LOUIS,MO,63131-2925,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920438,0028800206,Vacant Land,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S06, T07 S, R03 E, Lot 76A, ACRES 2.18, PLAT 4/467",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033706201130000,84HR HOLDINGS LLC,2.16,Madison,601 UNION ST STE 3920,,,SEATTLE,WA,98101-4054,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920428,0028800195,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S06, T07 S, R03 E, Lot 87, ACRES 2.16, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
